iter	Passed	Remaining
0	78	78666
1	79	39709
2	80	26743
3	81	20190
4	81	16270
5	82	13651
6	83	11780
7	83	10397
8	84	9332
9	85	8462
10	86	7743
11	86	7147
12	87	6640
13	88	6204
14	88	5827
15	89	5496
16	90	5205
17	90	4952
18	91	4725
19	92	4520
20	93	4340
21	93	4174
22	94	4024
23	95	3883
24	96	3753
25	96	3630
26	97	3517
27	98	3413
28	98	3313
29	99	3219
30	100	3132
31	100	3049
32	101	2972
33	102	2900
34	102	2831
35	103	2766
36	103	2704
37	104	2649
38	105	2594
39	105	2541
40	106	2490
41	107	2447
42	108	2403
43	108	2361
44	109	2320
45	109	2280
46	110	2241
47	111	2206
48	112	2174
49	112	2140
50	113	2107
51	113	2076
52	114	2045
53	115	2016
54	115	1987
55	116	1960
56	116	1934
57	117	1908
58	118	1884
59	118	1862
60	119	1839
61	120	1816
62	120	1794
63	121	1773
64	121	1753
65	122	1737
66	123	1720
67	124	1703
68	125	1686
69	125	1670
70	126	1654
71	127	1637
72	127	1621
73	128	1604
74	128	1588
75	129	1573
76	130	1559
77	130	1544
78	131	1530
79	131	1516
80	132	1503
81	133	1491
82	133	1475
83	134	1462
84	134	1450
85	135	1438
86	135	1426
87	136	1415
88	137	1406
89	138	1398
90	138	1387
91	139	1377
92	140	1368
93	141	1360
94	141	1350
95	142	1340
96	142	1330
97	143	1320
98	144	1311
99	144	1302
100	145	1293
101	145	1284
102	146	1276
103	147	1269
104	148	1262
105	148	1253
106	149	1245
107	149	1237
108	150	1229
109	151	1222
110	151	1214
111	152	1209
112	153	1203
113	154	1197
114	154	1191
115	155	1185
116	156	1179
117	157	1173
118	157	1167
119	158	1160
120	158	1153
121	159	1146
122	159	1140
123	160	1133
124	161	1127
125	161	1123
126	162	1116
127	163	1110
128	163	1105
129	164	1099
130	164	1094
131	165	1088
132	166	1082
133	166	1077
134	167	1074
135	168	1070
136	169	1065
137	170	1063
138	171	1060
139	171	1056
140	172	1051
141	173	1045
142	173	1040
143	174	1036
144	174	1031
145	175	1027
146	176	1023
147	177	1019
148	177	1015
149	178	1010
150	178	1006
151	179	1001
152	180	997
153	180	993
154	181	989
155	182	985
156	183	982
157	183	979
158	184	977
159	185	974
160	186	970
161	187	967
162	187	963
163	188	960
164	188	956
165	189	952
166	190	949
167	191	946
168	191	943
169	192	939
170	193	936
171	193	932
172	194	928
173	194	925
174	195	921
175	196	918
176	197	916
177	198	917
178	199	914
179	200	913
180	201	911
181	202	908
182	202	904
183	203	901
184	203	898
185	204	895
186	205	892
187	205	889
188	206	886
189	207	882
190	207	879
191	208	876
192	208	873
193	209	870
194	210	867
195	210	864
196	211	862
197	212	860
198	213	857
199	213	855
200	214	853
201	215	850
202	215	847
203	216	844
204	217	841
205	217	839
206	218	836
207	219	834
208	219	831
209	220	828
210	220	826
211	221	823
212	222	820
213	222	817
214	223	815
215	223	812
216	224	810
217	225	807
218	225	805
219	226	804
220	227	802
221	228	800
222	228	797
223	229	795
224	230	792
225	230	790
226	231	787
227	231	785
228	232	783
229	233	781
230	233	778
231	234	776
232	235	774
233	235	771
234	236	769
235	236	767
236	237	764
237	238	762
238	238	760
239	239	757
240	240	756
241	240	754
242	241	752
243	242	751
244	243	749
245	243	747
246	244	746
247	245	744
248	246	742
249	246	740
250	247	738
251	248	736
252	248	734
253	249	731
254	249	729
255	250	727
256	250	725
257	251	723
258	252	721
259	252	719
260	253	717
261	254	716
262	254	714
263	255	712
264	256	710
265	257	709
266	257	707
267	258	705
268	258	703
269	259	701
270	260	699
271	260	697
272	261	696
273	262	694
274	262	692
275	263	690
276	263	688
277	264	686
278	265	685
279	265	683
280	266	681
281	266	679
282	267	677
283	268	676
284	268	674
285	269	672
286	270	671
287	270	669
288	271	668
289	272	667
290	273	665
291	273	664
292	274	662
293	275	661
294	275	659
295	276	657
296	277	655
297	277	654
298	278	652
299	278	650
300	279	649
301	280	647
302	280	645
303	281	644
304	282	642
305	282	641
306	283	639
307	283	638
308	284	636
309	285	635
310	286	634
311	286	632
312	287	630
313	288	629
314	288	627
315	289	626
316	290	625
317	290	623
318	291	622
319	292	620
320	292	619
321	293	617
322	294	616
323	295	615
324	295	614
325	296	613
326	297	612
327	298	611
328	299	610
329	300	609
330	300	608
331	301	607
332	302	605
333	303	604
334	304	603
335	304	602
336	305	600
337	305	599
338	306	597
339	307	596
340	307	595
341	308	593
342	309	592
343	309	590
344	310	589
345	311	588
346	311	586
347	312	585
348	313	583
349	313	582
350	314	581
351	315	580
352	315	579
353	316	577
354	317	576
355	317	575
356	318	573
357	319	572
358	319	571
359	320	569
360	321	568
361	321	567
362	322	565
363	323	564
364	323	563
365	324	562
366	325	561
367	325	559
368	326	558
369	327	556
370	327	555
371	328	554
372	328	552
373	329	551
374	330	550
375	331	549
376	331	548
377	332	547
378	333	546
379	334	545
380	334	544
381	335	542
382	336	541
383	336	540
384	337	539
385	338	537
386	339	537
387	339	535
388	340	534
389	340	533
390	341	532
391	342	530
392	342	529
393	343	528
394	344	527
395	345	526
396	345	525
397	346	524
398	347	522
399	347	521
400	348	520
401	348	519
402	349	517
403	350	516
404	350	515
405	351	514
406	352	512
407	352	511
408	353	510
409	354	509
410	355	508
411	355	507
412	356	506
413	357	505
414	357	504
415	358	503
416	359	502
417	360	501
418	361	500
419	362	500
420	362	499
421	363	498
422	364	496
423	364	495
424	365	494
425	366	494
426	367	493
427	368	491
428	368	490
429	369	489
430	370	488
431	370	487
432	371	486
433	372	485
434	373	484
435	374	483
436	374	483
437	375	482
438	376	481
439	377	479
440	377	478
441	378	477
442	379	476
443	379	475
444	380	474
445	381	473
446	381	472
447	382	471
448	383	470
449	383	468
450	384	467
451	384	466
452	385	465
453	386	464
454	386	463
455	387	462
456	388	461
457	389	460
458	389	459
459	390	458
460	391	457
461	391	456
462	392	455
463	393	454
464	393	453
465	394	452
466	395	450
467	395	449
468	396	448
469	396	447
470	397	446
471	398	445
472	398	444
473	399	443
474	400	442
475	400	441
476	401	439
477	401	438
478	402	437
479	403	436
480	404	436
481	404	435
482	405	434
483	406	432
484	406	431
485	407	430
486	407	429
487	408	428
488	409	427
489	410	427
490	411	426
491	411	425
492	412	424
493	412	423
494	413	421
495	414	420
496	414	419
497	415	418
